sub cond rt
4 2 0.681511
4 1 0.762347
4 2 0.579976
4 2 0.656866
4 2 0.649436
4 2 0.627595
4 2 0.686454
4 1 0.467784
4 1 0.538791
4 1 0.644435
4 2 0.622658
4 1 0.499466
4 1 0.515632
4 2 0.547113
5 2 0.496604
5 1 0.495554
5 1 0.426435
5 1 0.389224
5 1 0.481327
5 2 0.385096
5 1 0.485203
5 1 0.427325
5 2 0.574181
5 1 0.626022
5 2 0.564874
5 2 0.690418
5 2 0.580775
5 2 0.513625
5 2 0.649102
5 1 0.47529
5 1 0.426108
5 1 0.440574
5 2 0.610701
5 2 0.573434
5 2 0.442244
5 1 0.428367
5 1 0.631163
5 2 0.490017
5 1 0.498138
5 1 0.629091
5 1 0.606945
5 2 0.476524
5 2 0.59287
5 1 0.517009
5 2 0.499839
5 1 0.8386
5 2 0.70433
5 2 0.655887
5 1 0.433549
5 1 0.492383
5 1 0.443474
5 2 0.45355
5 2 0.471008
5 2 0.55795
5 2 0.699036
5 2 0.658789
5 1 0.476235
5 1 0.493047
5 1 0.501196
5 1 0.5406
5 1 0.584868
5 2 0.786509
5 2 0.486752
5 1 0.496339
5 1 0.448473
5 2 0.610537
5 1 0.405089
5 2 0.668464
5 1 0.494794
5 2 0.461943
5 1 0.383404
5 2 0.492142
5 1 0.548261
5 2 0.482462
5 1 0.827244
5 2 0.694381
5 2 0.678585
5 2 0.577968
5 1 0.558837
5 2 0.66037
5 1 0.485844
5 1 0.534027
5 2 0.617963
5 1 0.630724
5 2 0.657529
5 2 0.539126
5 2 0.494764
5 2 1.030922
5 1 0.67292
5 1 0.713826
5 2 0.601377
5 2 0.533213
5 1 0.577435
5 1 0.431791
5 1 0.450578
5 2 0.63288
5 2 0.443704
5 2 0.645818
5 1 0.648042
5 1 0.52122
5 1 0.48805
5 1 0.743672
5 2 0.533872
5 2 0.772071
5 1 0.660633
5 2 0.55779
5 2 0.715323
5 1 0.853351
5 1 0.438941
5 1 0.457052
5 2 0.609513
5 1 0.493032
5 2 0.669168
5 1 0.494025
5 2 0.663221
5 2 0.768741
5 1 0.508635
5 1 0.572149
5 1 0.472938
5 1 0.457336
5 1 0.522288
5 1 0.81713
5 2 0.701156
5 2 0.732727
5 2 0.555597
5 1 0.553109
5 2 0.510642
5 1 0.700088
5 2 0.850774
5 1 0.476383
5 2 0.580082
5 2 0.46391
5 2 0.71335
5 2 0.938493
5 1 0.50477
5 2 0.504227
5 2 0.695755
5 1 0.551947
5 1 0.526635
5 2 0.525454
5 2 0.702385
5 1 0.76674
5 2 0.476316
5 2 0.493118
5 1 0.45226
5 1 0.453683
5 1 0.522657
5 2 0.52146
5 2 0.422086
5 1 0.676523
5 1 0.493429
5 1 0.42937
5 1 0.440117
5 2 0.650248
5 2 0.460439
5 2 0.573879
5 1 0.545737
5 1 0.423908
5 1 0.402691
5 2 0.342108
5 1 0.388191
5 2 0.624301
5 1 0.395151
5 2 0.463229
5 2 0.448698
5 1 0.419972
5 1 0.459609
5 1 0.593386
5 2 0.705774
5 1 0.544301
5 2 0.873908
5 2 0.545627
5 2 0.503795
5 1 0.51127
5 1 0.478843
5 2 0.590534
5 1 0.634738
5 1 0.620956
5 1 0.480867
5 1 0.465647
5 2 0.547155
5 2 0.632308
5 2 0.739157
5 2 0.683625
5 2 0.653443
5 1 0.60698
5 2 0.594094
5 2 0.630262
5 2 0.527151
5 2 0.796994
5 2 0.87324
5 1 0.460948
5 1 1.680636
5 1 0.704688
5 2 1.103266
5 1 0.549365
5 1 0.443475
5 2 0.501615
6 2 0.491144
6 1 0.399533
6 1 0.427195
6 1 0.477022
6 1 0.485855
6 2 0.534037
6 1 0.532225
6 1 0.386781
6 2 0.568985
6 1 0.565796
6 2 0.523332
6 2 0.778219
6 2 0.529387
6 2 0.490844
6 1 0.359646
6 1 0.428881
6 2 0.526756
6 2 0.487085
6 2 0.599258
6 1 0.499486
6 1 0.51566
6 2 0.507165
6 1 0.458677
6 1 0.487321
6 1 0.399495
6 2 0.475904
6 2 0.604995
6 1 0.76057
6 2 0.39816
6 2 0.574644
6 1 0.526506
6 1 0.461384
6 1 0.573857
6 2 0.50673
6 2 0.54627
6 2 0.528651
6 2 0.619756
6 2 0.478652
6 2 0.576986
6 1 0.517854
6 1 0.452679
6 1 0.430196
6 1 0.515064
6 1 0.35859
6 2 0.46155
6 2 0.463086
6 1 0.644869
6 2 0.534093
6 1 0.508288
6 2 0.450444
6 1 0.404541
6 2 0.431927
6 1 0.442758
6 2 0.612961
6 1 0.408455
6 1 0.533526
6 2 0.479233
6 2 0.552134
6 2 0.549529
6 1 0.515703
6 2 0.443206
6 1 0.413365
6 1 0.44085
6 2 0.557148
6 1 0.500524
6 2 0.46804
6 2 0.420841
6 2 0.483917
6 2 0.508079
6 2 0.691616
6 1 0.627897
6 1 0.469748
6 2 0.470601
6 2 0.527142
6 1 0.431203
6 1 0.357168
6 1 0.442603
6 2 0.478236
6 2 0.511105
6 2 0.502603
6 1 0.55816
6 1 0.675677
6 1 0.419568
6 1 0.55041
6 1 0.523947
6 2 0.410782
6 2 0.462342
6 1 0.411919
6 2 0.523142
6 2 0.546021
6 1 0.549784
6 1 0.387969
6 1 0.544128
6 2 0.430326
6 1 0.369102
6 2 0.493944
6 1 0.470113
6 2 0.547759
6 1 0.369987
6 1 0.630795
6 1 0.457628
6 1 0.395987
6 1 0.45612
6 1 0.40814
6 1 0.435665
6 2 0.449259
6 2 0.563418
6 2 0.52095
6 2 0.579956
6 1 0.576653
6 2 0.40098
6 1 0.459582
6 2 0.419807
6 2 0.50262
6 2 0.526142
6 2 0.429822
6 1 0.416642
6 2 0.772092
6 2 0.601058
6 1 0.50765
6 1 0.490669
6 2 0.506885
6 2 0.460554
6 1 0.482908
6 2 0.450745
6 2 0.660281
6 1 0.453811
6 1 0.591347
6 1 0.435068
6 2 0.477292
6 2 0.386004
6 1 0.520186
6 1 0.406989
6 1 0.442327
6 1 0.500463
6 2 0.42796
6 2 0.501661
6 2 0.445194
6 1 0.407339
6 1 0.394812
6 1 0.46293
6 2 0.368472
6 1 0.492234
6 2 0.41243
6 1 0.447871
6 2 0.546036
6 2 0.472243
6 1 0.497923
6 1 0.34224
6 1 0.496369
6 2 0.476041
6 1 0.388894
6 2 0.445842
6 2 0.446485
6 2 0.592677
6 1 0.404883
6 1 0.44036
6 2 0.442499
6 1 0.497468
6 1 0.361593
6 1 0.476968
6 1 0.405743
6 2 0.601305
6 2 0.428827
6 2 0.391651
6 2 0.481999
6 2 0.666128
6 1 0.515695
6 2 0.444411
6 2 0.430558
6 2 0.539352
6 2 0.481556
6 2 0.682426
6 1 0.436922
6 1 0.423233
6 1 0.38885
6 2 0.471999
6 1 0.39112
6 1 0.459305
6 2 0.532792
7 2 0.535132
7 1 0.661866
7 1 0.687515
7 1 0.495789
7 1 0.647919
7 2 0.466152
7 1 0.61163
7 1 0.609849
7 2 0.588457
7 1 0.496625
7 2 0.608793
7 2 0.468329
7 2 0.494309
7 2 0.510439
7 2 0.573937
7 1 0.618783
7 1 0.569495
7 1 0.458428
7 2 0.462854
7 1 0.474457
7 1 0.554245
7 2 0.559776
7 1 0.581303
7 1 0.57032
7 1 0.599172
7 2 0.598885
7 2 0.73782
7 1 0.728084
7 2 0.478996
7 1 0.678911
7 2 1.025666
7 2 0.777553
7 1 0.606475
7 1 0.53002
7 1 0.672838
7 2 0.545729
7 2 0.551919
7 2 0.613406
7 2 0.555994
7 2 0.862053
7 1 0.615665
7 1 0.571222
7 1 0.560094
7 1 0.89928
7 1 0.580791
7 2 0.610136
7 2 0.59765
7 1 0.567371
7 1 0.468181
7 2 0.445002
7 1 0.479147
7 2 0.626378
7 1 0.538748
7 2 0.528943
7 1 0.535791
7 2 0.628958
7 1 0.591813
7 1 0.633523
7 2 0.548661
7 2 0.698831
7 2 0.608566
7 1 0.595126
7 2 0.655304
7 1 0.584857
7 1 0.637035
7 2 0.538803
7 1 0.541797
7 2 0.619034
7 2 0.549879
7 2 0.671584
7 2 0.544486
7 1 0.834282
7 2 0.628455
7 2 0.836511
7 1 0.666674
7 1 0.488062
7 1 0.544195
7 2 0.705926
7 2 0.713566
7 2 0.729072
7 1 0.839997
7 1 0.594284
7 1 0.757499
7 1 0.851099
7 1 0.724722
7 2 0.507629
7 2 0.635179
7 1 0.785619
7 2 0.650205
7 2 0.580397
7 1 0.546187
7 1 0.544374
7 1 0.606607
7 2 0.658112
7 1 0.563622
7 1 0.766133
7 2 0.627768
7 2 0.758638
7 1 0.620222
7 1 0.775087
7 1 0.716022
7 1 0.625127
7 1 0.458953
7 1 0.639988
7 2 0.637307
7 2 0.791542
7 2 0.811831
7 1 0.750437
7 2 0.524026
7 1 0.695047
7 2 0.491131
7 1 0.571357
7 2 0.53172
7 2 0.450556
7 2 0.524029
7 2 1.237771
7 1 0.767224
7 2 0.596134
7 2 0.608331
7 1 0.651842
7 1 0.652265
7 2 0.597841
7 2 0.633253
7 1 0.592961
7 2 0.541164
7 2 0.571336
7 1 0.904189
7 1 0.439819
7 1 0.883231
7 2 0.588173
7 2 0.650162
7 1 0.506871
7 1 0.62632
7 1 0.542442
7 1 0.556593
7 2 0.610123
7 2 0.580312
7 2 0.889169
7 1 0.624426
7 1 0.547351
7 1 0.60151
7 2 0.541041
7 1 0.547226
7 2 0.561402
7 1 0.606891
7 2 0.641522
7 2 0.563655
7 1 0.543372
7 1 0.435019
7 1 0.411493
7 1 0.52889
7 2 0.987946
7 2 0.691205
7 2 0.619405
7 1 0.566278
7 1 0.482774
7 2 0.491611
7 1 0.531731
7 1 0.418564
7 1 0.405382
7 1 0.512384
7 1 0.711908
7 2 0.550476
7 2 0.475998
7 2 0.620535
7 1 0.688283
7 2 0.654398
7 2 0.60796
7 2 0.742357
7 2 1.396653
7 2 0.913088
7 1 0.494959
7 1 0.485311
7 1 0.737297
7 2 0.551566
7 1 0.477448
7 1 0.518273
7 2 0.565153
8 2 0.621042
8 1 0.415059
8 1 0.748717
8 1 0.682943
8 1 0.627793
8 2 0.598683
8 1 0.746888
8 1 0.43442
8 1 0.50067
8 2 0.724153
8 1 0.579018
8 2 0.55192
8 2 0.420488
8 2 0.441947
8 2 0.66009
8 2 0.477588
8 1 0.590376
8 1 0.436941
8 1 0.479769
8 2 0.839527
8 2 0.689807
8 1 0.585021
8 1 0.621221
8 2 0.632054
8 1 0.530887
8 1 0.620591
8 1 0.847473
8 2 0.669027
8 2 0.668831
8 1 0.565718
8 2 1.139248
8 1 0.675997
8 2 0.658761
8 2 0.740329
8 2 0.706582
8 1 0.714114
8 1 0.569641
8 1 0.622524
8 2 0.817369
8 2 1.235316
8 2 0.785304
8 2 0.716318
8 2 0.690877
8 2 0.590677
8 1 0.810871
8 1 0.606482
8 1 0.897994
8 1 0.679177
8 1 0.565142
8 2 0.665557
8 2 1.011093
8 1 0.566882
8 1 0.716363
8 2 0.586953
8 1 0.527163
8 2 0.583263
8 1 0.79409
8 2 0.694398
8 1 1.046592
8 2 0.824918
8 1 0.987931
8 2 1.232215
8 1 0.731271
8 2 0.562651
8 2 0.551156
8 1 0.772686
8 2 0.761567
8 1 0.567145
8 1 0.684032
8 2 0.773423
8 1 0.567356
8 2 0.724151
8 2 0.987044
8 2 0.65952
8 2 0.765112
8 2 0.706707
8 1 0.666194
8 1 0.643724
8 2 0.589993
8 2 0.642725
8 1 1.034177
8 1 0.928678
8 1 1.015631
8 2 0.587811
8 2 0.640026
8 2 0.586218
8 1 0.622356
8 1 0.633232
8 1 0.484104
8 1 0.836203
8 1 0.662534
8 2 0.687014
8 2 0.751311
8 1 0.924381
8 2 0.645388
8 2 0.903632
8 1 0.497618
8 1 0.593763
8 1 0.525891
8 2 0.484739
8 1 0.628865
8 2 0.743729
8 1 0.68595
8 2 0.66095
8 2 1.102529
8 1 0.446221
8 1 0.512304
8 1 0.487792
8 1 0.424146
8 1 0.618
8 1 0.814902
8 1 1.282508
8 2 0.954609
8 2 1.088282
8 2 0.944671
8 1 0.805974
8 2 0.64151
8 1 0.664631
8 2 0.743009
8 1 1.477271
8 2 0.659914
8 2 0.541443
8 2 0.923593
8 2 0.602361
8 1 0.701907
8 2 0.605464
8 2 0.848942
8 1 0.995262
8 1 0.599766
8 2 1.186994
8 2 0.499608
8 1 0.740126
8 2 0.668048
8 1 0.988055
8 1 0.640271
8 1 0.644691
8 2 0.846868
8 2 1.291698
8 2 0.778656
8 1 0.530475
8 1 0.633344
8 1 0.492297
8 1 0.604425
8 2 0.752024
8 2 0.752489
8 2 1.318093
8 1 1.477256
8 1 0.56641
8 1 0.53991
8 2 0.498038
8 1 0.730186
8 2 0.720118
8 1 0.918989
8 2 0.685943
8 2 0.798173
8 1 0.793307
8 1 0.651248
8 1 0.564093
8 2 0.534539
8 1 0.684757
8 2 1.342439
8 2 0.793764
8 2 0.582024
8 1 0.498808
8 1 0.650998
8 2 0.788525
8 1 0.824786
8 1 0.467746
8 1 0.459503
8 1 0.537857
8 1 0.671908
8 2 0.704904
8 2 0.960467
8 2 0.5261
8 2 0.624144
8 2 1.276482
8 1 0.517559
8 2 0.698428
8 2 0.578686
8 2 0.817361
8 2 1.571362
8 2 0.800499
8 1 0.534934
8 1 0.575201
8 1 0.536914
8 2 0.935104
8 1 0.486669
8 1 0.510837
8 2 0.590301
9 2 0.638022
9 1 0.361939
9 1 0.427449
9 1 0.454266
9 1 0.415668
9 1 0.471186
9 1 0.48058
9 1 0.389382
9 2 0.457542
9 1 0.443007
9 2 0.709124
9 2 0.380661
9 2 0.364638
9 2 0.393969
9 2 0.374103
9 1 0.442823
9 1 0.349141
9 1 0.373164
9 2 0.44993
9 2 0.396853
9 2 0.425013
9 1 0.451656
9 1 0.380208
9 2 0.408844
9 1 0.372308
9 2 0.482121
9 2 0.401078
9 2 0.604937
9 1 0.449367
9 2 0.520329
9 2 0.479124
9 2 0.383922
9 1 0.490994
9 1 0.475167
9 1 0.467942
9 2 0.420716
9 2 0.447459
9 2 0.473743
9 2 0.442484
9 2 0.436579
9 2 0.450123
9 1 0.468211
9 1 0.421008
9 1 0.367777
9 1 0.40278
9 2 0.374924
9 1 0.435842
9 1 0.390015
9 2 0.514049
9 1 0.409598
9 2 0.41041
9 1 0.44261
9 2 0.612687
9 1 0.424275
9 2 0.665954
9 1 0.411475
9 2 0.454932
9 1 0.392348
9 2 0.357914
9 2 0.379504
9 1 0.368223
9 2 0.387991
9 1 0.424142
9 1 0.39485
9 2 0.419666
9 1 0.391251
9 2 0.459323
9 2 0.363786
9 2 0.45606
9 2 0.45747
9 1 0.394974
9 1 0.391024
